Route_Pair_ID,Route_1_Operator,Route_1_ID,Route_1_Name_TC,Route_1_Name_EN,Route_1_Origin_TC,Route_1_Origin_EN,Route_1_Destination_TC,Route_1_Destination_EN,Route_2_Operator,Route_2_ID,Route_2_Name_TC,Route_2_Name_EN,Route_2_Origin_TC,Route_2_Origin_EN,Route_2_Destination_TC,Route_2_Destination_EN,Overlap_Count,Overlap_Percentage,Common_Stops_Count,Common_Stop_Names_TC,Common_Stop_Names_EN,Coordination_Potential,Passenger_Impact,Implementation_Priority,Geographic_Area,Service_Type,Current_Scenario,Current_Waiting_Time_Min,Current_Service_Frequency_Min,Current_Coordination_Status,Ideal_Scenario,Ideal_Waiting_Time_Min,Ideal_Service_Frequency_Min,Ideal_Coordination_Status,Expected_Time_Savings_Min,Expected_Cost_Savings_Percent,Expected_Passenger_Benefit,Implementation_Complexity,ROI_Percentage,Analysis_Date
1,KMB,272A,大學站,University Station,大學站,University Station,大埔,Tai Po,Citybus,582,大學站,University Station,大埔,Tai Po,大學站,University Station,4,100.0,4,"大學站,科學園,大埔中心,大埔墟站","University Station,Science Park,Tai Po Central,Tai Po Market Station",High,Significant,High Priority,University Area,University Route,No Coordination,8.5,12,Independent Operation,Full Coordination,5.0,8,Coordinated Operation,3.5,25.0,High,Medium,35.0,2024-10-19
2,KMB,1,STAR FERRY,STAR FERRY,竹園邨,Chuk Yuen Estate,尖沙咀碼頭,Star Ferry,KMB,2,STAR FERRY,STAR FERRY,竹園邨,Chuk Yuen Estate,尖沙咀碼頭,Star Ferry,3,75.0,3,"竹園邨,黃大仙站,九龍塘站","Chuk Yuen Estate,Wong Tai Sin Station,Kowloon Tong Station",High,Significant,High Priority,Urban Corridor,Cross-Harbor,No Coordination,7.2,10,Independent Operation,Coordinated Scheduling,5.0,8,Coordinated Operation,2.2,20.0,High,Low,30.0,2024-10-19
3,Citybus,581,尖沙咀,Tsim Sha Tsui,大埔,Tai Po,尖沙咀,Tsim Sha Tsui,Citybus,580,中環,Central,大埔,Tai Po,中環,Central,3,75.0,3,"中環,金鐘,灣仔","Central,Admiralty,Wan Chai",Medium,Moderate,Medium Priority,Central District,Urban Route,No Coordination,6.8,14,Independent Operation,Limited Coordination,5.5,11,Partial Coordination,1.3,15.0,Medium,Low,20.0,2024-10-19
4,KMB,3,中環,Central,中環,Central,銅鑼灣,Causeway Bay,KMB,6,中環,Central,中環,Central,銅鑼灣,Causeway Bay,3,75.0,3,"中環,金鐘,灣仔","Central,Admiralty,Wan Chai",Medium,Moderate,Medium Priority,Central District,Urban Route,No Coordination,6.5,12,Independent Operation,Coordinated Scheduling,5.2,9,Coordinated Operation,1.3,15.0,Medium,Low,25.0,2024-10-19
5,KMB,5,尖沙咀,Tsim Sha Tsui,尖沙咀,Tsim Sha Tsui,中環,Central,Citybus,581,尖沙咀,Tsim Sha Tsui,大埔,Tai Po,尖沙咀,Tsim Sha Tsui,2,50.0,2,"尖沙咀,佐敦","Tsim Sha Tsui,Jordan",Low,Limited,Low Priority,Tsim Sha Tsui,Cross-Harbor,No Coordination,5.8,16,Independent Operation,Basic Coordination,5.0,14,Basic Coordination,0.8,10.0,Low,Very Low,15.0,2024-10-19
6,Citybus,580,中環,Central,大埔,Tai Po,中環,Central,Citybus,582,大學站,University Station,大埔,Tai Po,大學站,University Station,2,50.0,2,"大埔,大埔中心","Tai Po,Tai Po Central",Low,Limited,Low Priority,Tai Po,Regional Route,No Coordination,6.2,18,Independent Operation,Basic Coordination,5.5,16,Basic Coordination,0.7,8.0,Low,Very Low,12.0,2024-10-19
7,KMB,9,旺角,Mong Kok,旺角,Mong Kok,中環,Central,KMB,10,旺角,Mong Kok,旺角,Mong Kok,中環,Central,3,60.0,3,"旺角,油麻地,佐敦","Mong Kok,Yau Ma Tei,Jordan",Medium,Moderate,Medium Priority,Mong Kok,Urban Route,No Coordination,7.0,13,Independent Operation,Limited Coordination,5.8,10,Partial Coordination,1.2,12.0,Medium,Low,18.0,2024-10-19
8,Citybus,1,跑馬地,Happy Valley,中環,Central,跑馬地,Happy Valley,Citybus,580,中環,Central,大埔,Tai Po,中環,Central,2,50.0,2,"中環,金鐘","Central,Admiralty",Low,Limited,Low Priority,Central District,Urban Route,No Coordination,5.5,15,Independent Operation,Basic Coordination,5.0,13,Basic Coordination,0.5,8.0,Low,Very Low,10.0,2024-10-19
9,KMB,15,沙田,Sha Tin,沙田,Sha Tin,中環,Central,KMB,16,沙田,Sha Tin,沙田,Sha Tin,中環,Central,2,40.0,2,"沙田,九龍塘","Sha Tin,Kowloon Tong",Low,Limited,Low Priority,Sha Tin,Regional Route,No Coordination,6.8,18,Independent Operation,Basic Coordination,6.0,16,Basic Coordination,0.8,6.0,Low,Very Low,8.0,2024-10-19
10,Citybus,582,大學站,University Station,大埔,Tai Po,大學站,University Station,Citybus,581,尖沙咀,Tsim Sha Tsui,大埔,Tai Po,尖沙咀,Tsim Sha Tsui,2,50.0,2,"大埔,大埔中心","Tai Po,Tai Po Central",Low,Limited,Low Priority,Tai Po,Regional Route,No Coordination,6.5,16,Independent Operation,Basic Coordination,5.8,14,Basic Coordination,0.7,7.0,Low,Very Low,9.0,2024-10-19
