description,source,timestamp,title,url
,HKO_OPEN_DATA,2025-10-19T16:00:25.068130,Tropical cyclone best track data (post analysis),https://data.gov.hk/en-data/dataset/hk-hko-rss-tropical-cyclone-best-track-data
,HKO_OPEN_DATA,2025-10-19T16:00:25.068202,Smart lampposts real-time experimental meteorological data (Post quality checks),https://data.gov.hk/en-data/dataset/hk-hko-rss-smart-lamppost-weather-data
,HKO_OPEN_DATA,2025-10-19T16:00:25.068236,Daily prevailing wind direction,https://data.gov.hk/en-data/dataset/hk-hko-rss-daily-prevailing-wind-direction
,HKO_OPEN_DATA,2025-10-19T16:00:25.068242,Daily mean wind speed,https://data.gov.hk/en-data/dataset/hk-hko-rss-daily-mean-wind-speed
,HKO_OPEN_DATA,2025-10-19T16:00:25.068250,Regional weather in Hong Kong – the latest 10-minute mean wind direction and wind speed and maximum gust,https://data.gov.hk/en-data/dataset/hk-hko-rss-latest-ten-minute-wind-info
,HKO_OPEN_DATA,2025-10-19T16:00:25.068287,Tropical cyclone best track data (post analysis),https://data.gov.hk/en-data/dataset/hk-hko-rss-tropical-cyclone-best-track-data
,HKO_OPEN_DATA,2025-10-19T16:00:25.068351,Smart lampposts real-time experimental meteorological data (Post quality checks),https://data.gov.hk/en-data/dataset/hk-hko-rss-smart-lamppost-weather-data
,HKO_OPEN_DATA,2025-10-19T16:00:25.068384,Daily prevailing wind direction,https://data.gov.hk/en-data/dataset/hk-hko-rss-daily-prevailing-wind-direction
,HKO_OPEN_DATA,2025-10-19T16:00:25.068390,Daily mean wind speed,https://data.gov.hk/en-data/dataset/hk-hko-rss-daily-mean-wind-speed
,HKO_OPEN_DATA,2025-10-19T16:00:25.068398,Regional weather in Hong Kong – the latest 10-minute mean wind direction and wind speed and maximum gust,https://data.gov.hk/en-data/dataset/hk-hko-rss-latest-ten-minute-wind-info
